HSHD_NUM,L,AGE_RANGE,MARITAL,INCOME_RANGE,HOMEOWNER,HSHD_COMPOSITION,HH_SIZE,CHILDREN
1662,N,65-74                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
1770,Y,65-74                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
4878,N,65-74                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
1251,Y,65-74                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
3205,N,65-74                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
3232,N,65-74                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
720,Y,65-74                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
3703,Y,65-74                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
2572,Y,65-74                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2.0,1.24
3151,Y,65-74                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Unknown,2 Adults         ,2.0,1.24
3476,Y,65-74                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2.0,1.24
2200,Y,65-74                                                                                                                                                                                                   ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
577,Y,65-74                                                                                                                                                                                                   ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
2189,N,65-74                                                                                                                                                                                                   ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
2375,N,65-74                                                                                                                                                                                                   ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
2504,Y,65-74                                                                                                                                                                                                   ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
3442,N,65-74                                                                                                                                                                                                   ,Unknown,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
3608,N,65-74                                                                                                                                                                                                   ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
4037,Y,65-74                                                                                                                                                                                                   ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
4249,Y,65-74                                                                                                                                                                                                   ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
4606,N,75+                                                                                                                                                                                                     ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
3893,Y,75+                                                                                                                                                                                                     ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,Single Male      ,1.0,1.24
4879,Y,Unknown,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
3785,Y,25-34                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
4065,Y,25-34                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
991,Y,25-34                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,Single Male      ,1.0,1.24
3606,N,25-34                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,Single Male      ,1.0,1.24
3819,N,25-34                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Unknown,Single Male      ,1.0,1.24
4085,Y,25-34                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,Single Male      ,1.0,1.24
2019,N,35-44                                                                                                                                                                                                   ,Single ,150K+                                                                                                                                                                                                   ,Homeowner,Single Male      ,1.0,1.24
